trial,score,start_equity,end_equity,return_pct,max_drawdown,max_drawdown_pct,btc_trades,sol_trades,btc_ema_fast,btc_ema_slow,btc_adx_min,btc_atr_period,btc_stop_atr_mult,btc_tp_atr_mult,btc_trigger_delta,btc_pos_pct,sol_bb_period,sol_bb_std,sol_rsi_period,sol_rsi_long_max,sol_rsi_short_min,sol_adx_max,sol_atr_period,sol_stop_atr_mult,sol_trigger_delta
199,-0.6804520877828004,1000.0,909.8138971258197,-9.018610287418028,133.67246844239378,13.25385056397499,316,0,10,140,23.0,18,1.1,2.8,0.0035,22,14,2.0,16,34,70,11.0,18,2.6,0.0034000000000000002
269,-0.6809018676360942,1000.0,908.0677144021929,-9.193228559780708,140.05070081459712,13.501546987522731,247,1,28,210,21.0,11,1.0,3.0,0.0026000000000000003,26,40,2.3000000000000003,12,28,63,10.0,16,1.3,0.0038000000000000004
43,-0.6810858541237793,1000.0,978.7401811099945,-2.12598188900055,31.535340953009722,3.121459469651792,91,1,40,120,24.0,15,2.0,3.0,0.0031,14,40,2.3000000000000003,12,37,66,10.0,16,2.1,0.005600000000000001
80,-0.6818616399246403,1000.0,944.7303192734801,-5.526968072651995,81.05703194071509,8.10570319407151,143,9,10,300,31.0,20,2.2,1.9000000000000001,0.0027,24,40,2.0,13,37,70,15.0,13,2.2,0.0032
54,-0.6830659418268429,1000.0,944.2889927376016,-5.571100726239841,83.20397428889748,8.156021820294642,75,75,32,250,29.0,18,1.5,2.9000000000000004,0.003,24,22,2.0,14,31,59,21.0,13,1.7,0.0026
253,-0.6852219118803338,1000.0,912.6297647507602,-8.73702352492398,129.61930244916311,12.750648181913077,328,20,14,220,19.0,10,1.7000000000000002,1.9000000000000001,0.0013,28,26,2.2,17,28,64,20.0,16,1.4,0.004200000000000001
38,-0.6863239182599357,1000.0,919.3107242830024,-8.068927571699758,117.9939972837443,11.756733747757519,126,10,24,150,25.0,12,2.2,3.2,0.0029000000000000002,26,30,2.5,15,40,72,17.0,19,2.5,0.0066
103,-0.6884710465322067,1000.0,933.2976297769314,-6.670237022306857,99.10829116529851,9.688478630879974,194,24,28,130,21.0,16,1.9,1.9000000000000001,0.0008,16,22,1.9000000000000001,12,40,62,14.0,15,1.3,0.002
296,-0.6898238764364364,1000.0,951.6679377446334,-4.833206225536657,71.18792268754623,7.006435107037079,193,25,30,280,21.0,10,2.0,1.8,0.0028,16,20,2.1,14,30,59,16.0,18,2.1,0.0038000000000000004
61,-0.693873103994189,1000.0,943.37366067822,-5.662633932178007,83.29109622970145,8.160907087451296,94,29,28,210,29.0,17,1.1,2.5,0.0016,30,32,2.6,13,34,59,18.0,13,2.2,0.0028
56,-0.6963975691185279,1000.0,976.9398067193388,-2.3060193280661223,33.436771792952754,3.3113546490189347,81,74,28,120,29.0,18,1.2,2.6,0.0009000000000000001,10,30,2.0,12,38,71,22.0,17,1.3,0.0074
259,-0.6970205032415826,1000.0,949.5514675253302,-5.044853247466985,72.87818040063769,7.237740100908442,246,6,18,300,21.0,17,1.8,2.7,0.0013,24,14,1.7000000000000002,10,31,67,13.0,10,2.0,0.005
23,-0.7043964720773855,1000.0,958.464358494365,-4.153564150563504,59.22322140443703,5.896628270033684,160,37,16,140,26.0,13,1.8,2.6,0.0012000000000000001,20,16,1.9000000000000001,15,32,60,17.0,18,2.3,0.0038000000000000004
239,-0.7094147126048751,1000.0,956.0778525981093,-4.392214740189071,62.9730540770297,6.191321750378493,157,9,26,170,23.0,12,2.1,2.6,0.0031,12,38,1.6,15,40,64,14.0,18,1.3,0.0036
18,-0.7100939871752492,1000.0,968.6011553908736,-3.1398844609126453,44.47836819818349,4.421787140323624,158,14,16,130,28.0,18,1.0,2.0,0.0032,16,18,2.2,17,35,61,16.0,10,1.4,0.0044
15,-0.7134677012230142,1000.0,927.7831880087787,-7.221681199122132,102.23156969742558,10.12194551588369,366,41,12,220,19.0,18,1.3,2.6,0.0029000000000000002,24,20,2.4000000000000004,12,39,72,19.0,19,1.9,0.0034000000000000002
